Symbols	EntrezID	EnsemblID	Ensembl_version_id	nCov1	nCov2	Ctrl1	Ctrl2	Ctrl3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gid	Symbol	Tag
AC090825.1	NA	ENSG00000259363	ENSG00000259363.6	4	24	301	567	60	36,4551930093374	1,35379214713792	1,12067005645948	1,20802027263487	0,227039464588249	0,351979116587451	ENSG00000259363.6	AC090825.1	NC
MTND5P32	107075254	ENSG00000259379	ENSG00000259379.1	14	8	17	30	26	25,2943105855877	4,68029702924628	0,564177204742222	8,29579250970403	1,07863662329943e-16	2,20423290187179e-15	ENSG00000259379.1	MTND5P32	Up
AC090971.3	NA	ENSG00000259556	ENSG00000259556.2	23	1	13	16	11	22,6475850555252	5,53209735543445	1,04240657948863	5,30704378146609	1,11417423822053e-07	8,49982887624731e-07	ENSG00000259556.2	AC090971.3	Up
AC066616.2	NA	ENSG00000259600	ENSG00000259600.2	14	10	13	18	27	22,7706677887743	5,00569289226152	0,520498766425896	9,61710808007109	6,77079708666038e-22	2,10041263735967e-20	ENSG00000259600.2	AC066616.2	Up
AC066613.1	NA	ENSG00000259668	ENSG00000259668.6	44	9	718	533	437	66,754195239275	1,32883837861353	0,601990420692513	2,20740784726254	0,0272855786372147	0,0610708349341846	ENSG00000259668.6	AC066613.1	NC
IQCH-AS1	100506686	ENSG00000259673	ENSG00000259673.6	18	4	349	439	277	26,1264036611593	0,525511635278216	0,707845385965626	0,742410201009257	0,457838840835629	0,618993736260886	ENSG00000259673.6	IQCH-AS1	NC
AC009093.1	NA	ENSG00000259807	ENSG00000259807.2	6	31	52	85	76	38,5671036924159	3,81107888254949	0,714247954302606	5,33579250677818	9,5128137357041e-08	7,32625773011709e-07	ENSG00000259807.2	AC009093.1	Up
AL390728.6	NA	ENSG00000259865	ENSG00000259865.1	18	12	594	1218	898	51,1534678206472	-0,282370139919714	0,681071577082991	-0,414596863855481	0,678437044388232	0,807498592639698	ENSG00000259865.1	AL390728.6	NC
AL138756.1	NA	ENSG00000259953	ENSG00000259953.2	27	98	2568	2634	1475	182,609141240763	0,603646235650888	0,595195147120663	1,01419885321832	0,310487875723835	0,453859539812466	ENSG00000259953.2	AL138756.1	NC
RBM15B	29890	ENSG00000259956	ENSG00000259956.2	84	51	3766	3734	3610	219,635857041898	-0,12089730300253	0,249349303323628	-0,484851176205688	0,627781917732006	0,771688242175234	ENSG00000259956.2	RBM15B	NC
NORAD	647979	ENSG00000260032	ENSG00000260032.2	518	338	16298	18174	15180	1256,25180775012	0,419508041707391	0,184175297612546	2,27776497253134	0,0227405843118889	0,0523815580774656	ENSG00000260032.2	NORAD	NC
MMP2-AS1	NA	ENSG00000260135	ENSG00000260135.7	4	21	787	4769	997	85,6685542293316	-1,55816322065318	1,13658347691918	-1,37091841672442	0,17040038956571	0,276051677395894	ENSG00000260135.7	MMP2-AS1	NC
MRC1	4360	ENSG00000260314	ENSG00000260314.3	890	492	234987	217944	210307	7366,26628329648	-2,63019444366378	0,229762329061101	-11,4474572677418	2,42144441438391e-30	1,29493064727426e-28	ENSG00000260314.3	MRC1	Down
AC009812.4	NA	ENSG00000260317	ENSG00000260317.1	20	2	35	41	18	20,9767744590053	4,17804056505336	0,877296419645452	4,76240466904203	1,91299576757812e-06	1,19204588438824e-05	ENSG00000260317.1	AC009812.4	Up
