	nCov1	nCov2	Ctrl1	Ctrl2	Ctrl3
47917	0	0	0	0.0939260571441585	0.102727183754909
47918	114.490611442603	13.8288363613948	15.8256847253801	21.6969192003006	30.6512234528711
47919	0	0	0	0	0
47920	0	0	0	0	0
47921	0	0	0.0989105295336256	0	0
47922	0	0	0.00686746203126427	0.0139485176472521	0
47923	0	0	0	0	0
47924	0	0	0	0	0
47925	0	0	0	0	0
47926	0	0	0	0	0
47927	0	0	0	0.00369749815956043	0
47928	0	0	0	0	0
47929	0	0	0	0.111266252309234	0.243384404588555
47930	0	0	0	0	0
47931	0	0	0	0	0
47932	0	19.7816467156377	11.0832196007215	18.3441943790621	14.1960804199582
47933	1078.90564430029	318.469966793299	306.226999436105	654.311014314948	123.535481240794
47934	0	0	1.95493752489989	5.53058724713545	1.24078323907891
47935	7.63270742950684	1.38288363613948	0.573681071295029	1.59713433002213	0.747054908528758
47936	7.45742604803591	11.1727759329015	1.6056957779822	3.11789409524153	2.32015456670665
47937	0	0	0	0	0
47938	6.31672338993669	0	0	0	0
47939	0	0	0	0	0
47940	0	0	0.390222363091564	0.396290761649326	0.433424282144001
47941	0	0	0.0125379544479244	0	0
47942	45.796244577041	55.3153454455794	1.78038953160526	3.81705060005289	1.53805422344156
47943	12.1076974646767	9.44490904486942	0.784504567170005	1.78815898754007	1.6652617156059
47944	0	0	0	0	0
47945	0	0	0	0	0
47946	0	0	0	0	0
47947	0	0	0	0	0
47948	0	0	1.06823371896316	1.44646128002004	1.1864989723692
47949	0	0	0	0	0
47950	0	0	0	0	0
47951	0	0	0	0	0
47952	0	0	0	0	0
47953	0	0	0	0	0
47954	0	0	0	0	0
47955	0.362025648830364	1.53046410323737	0.875729589546725	0.948108678274006	0.918837588030023
47956	0	0	0	0	0
47957	4.98588146604882	2.0074117298799	15.4204706205165	13.2106241905056	11.5779335206995
47958	0	0	0.610419267978947	1.23982395430289	0.677999412782402
47959	66.5380414482569	93.7632312934036	39.1685696953157	42.1127796436328	39.6386427988815
47960	0	0	0	0.0939260571441585	0
47961	0	0	0.587026483305856	0.611843708468347	0.669175125414302
47962	0	1.3275682906939	2.164953670432	1.71646738562378	2.19370476669151
47963	0	0	0	0	0
47964	0	0	0	0	0
47965	0	0	0	0.144646128002004	0.158199862982561
47966	0	0	0	0	0
47967	0	0	0	0	0
47968	0	0	0	0	0
47969	54.2770306098264	98.3383919032522	218.394449210245	186.075636269245	211.714384534686
47970	0	0	0	0	0
47971	0	0	0	0	0
47972	0	0	0	0	0
47973	0	0	0	0	0
47974	0	0	0	0	0
47975	35.6853853847073	90.5160198200389	72.3254344787176	69.7870604581098	64.1017626630635
47976	0	0	0	0	0
47977	0	0	0	0	0
47978	0	0	0	0	0
47979	0	0	0	0	0
47980	0	0	0	0	0
47981	94.3680191284482	65.3726809811392	26.9755989637161	32.2166376004464	30.6811855481329
47982	0	0	0	0	0
47983	0	0	0	0	0
47984	0	1.20981314461777	0.0692253523831936	0.105452827218958	0.0384446811622261
47985	50.2860724767509	39.0461261968795	16.4656940341271	18.4116558355492	17.3709653471047
47986	0	0	0	0	0
47987	1.77275785459514	1.96280258032701	2.91243649542882	2.6103700877781	2.24258228708253
47988	0	0	0	0.170171915296475	0
47989	0	0	0	0	0
47990	0	0	0	0	0
47991	0	0	0	0	0
47992	0	0	0.163713979917725	0	0
47993	0	0	0	0	0
47994	0	0	0	0	0
47995	0	0	0.00339606968355796	0.00689776480696252	0
47996	0	0	0	0	0
47997	0	0	0.284862325056842	0.234188969146102	0.180799843408641
47998	0	0	0	0	0
47999	0	0	0	0	0
48000	0	0	0.00328182402139219	0	0
48001	0	0	0	0	0
48002	0	0	0.154816481009153	0.157224052176091	0
48003	0	0	0	0	0
48004	0	0	0	0	0.282499755326001
48005	2.01671535752107	1.82692884040446	0.627219798290294	0.690054922578368	0.972421176131335
48006	0	0	0	0	0
48007	6.68151896564732	7.56592870836192	4.85954346316573	4.86916677088813	7.42914250176462
48008	0	0	0.0310307543634904	0	0
48009	1.81371265651648	18.0733306901398	3.36099937979607	4.29641964362388	3.34151525771745
48010	0.127447804945383	0.346362320739945	0.0726689604736841	0.0402540244903536	0.0733765598249353
48011	0	0	0	0	0
48012	0	0.981929209093125	1.33441424459566	0.499271644977332	0.499250060694471
48013	0	0	0	0	0
48014	0	0	0	0	0
48015	0	0	0	0	0
48016	0	0	0	0	0
48017	0	0	0	0	0
48018	49.9595395385902	75.4300165166991	78.8406839046208	84.5960688011721	98.5952681416564
48019	0	0	0	0	0
48020	0	0	0	0	0
48021	0	0	0	0	0
48022	1.01581318840017	1.38032747415032	3.96227171174258	2.98115402444056	3.49443320266469
48023	0	0	0	0	0
48024	0	0	0.272605047029808	0.187930845266644	0.45970342973418
48025	0	0	0.00214375620903704	0	0
48026	31.9716662710343	23.8994698385701	21.4805662934441	20.4434763498357	20.7436191372169
48027	0	0	0	0	0
48028	8.01100488228123	5.80569223335527	18.2087652386917	15.729739284183	18.4950860221594
48029	1.92376289938562	1.35545187206204	0.880846162661179	0.859381410046913	0.842994213481555
48030	0	0	0	0	0
48031	0	0	0	0.00749461803119192	0
48032	115.03819200255	154.683615884784	40.4842229901429	41.9468899325448	48.8506683672656
48033	0	0	0	0	0
48034	0	0	0	0	0
48035	0	0	0.303045026656215	0.1538788595766	0
48036	185.96050828253	199.470488121938	548.072236012141	519.727661607201	546.801580285345
48037	0	0	0.234776641530364	0.317903578026383	0.434615008193848
48038	0	0	0	0.0187365450779798	0.0204922102309016
48039	0	0	0	0	0
48040	0	0	0.2443527591951	0.538162526671367	0.266500389274053
48041	0	0	0	0	0
48042	0	0	0	0	0
48043	0	0	0.167566073562848	0	0
48044	0	0	0	0	0
48045	0	0	0	0	0
48046	0	0	0	0.00798708602992844	0
48047	0	0	0	0	0
48048	0	0	0.192474543957326	0.195467740543249	0
48049	0	0	4.5242839861969	12.5076357742909	11.4462253805029
48050	0	0	0	0.0152902883723049	0
48051	0	0	0	0	0
