	V1	V2	V3	V4	V5	V6
NAME	Case1	Case2	Case3	NegCtrl1	NegCtrl2	NegCtrl3
CLASS_CvsI	Infected	Infected	Infected	Control	Control	Control
	123	96	315	122	163	390
	745	833	2412	840	828	1452
	0	0	0	0	0	0
	66	71	204	63	66	174
	0	0	0	0	0	0
	0	0	0	0	0	0
	31	32	62	21	42	91
	39	41	115	22	49	168
	84	102	243	149	175	263
	5	5	10	7	6	12
	953	965	2943	1187	1053	1785
	29	22	25	17	9	29
	0	0	0	0	0	0
	123	116	375	148	120	179
	0	0	0	0	0	0
	147	181	532	214	182	357
	1556	1829	4806	1763	1592	2617
	0	0	0	0	0	0
	0	0	0	0	0	0
	819	899	2705	1108	880	1487
	78	60	208	86	58	150
	744	730	2296	875	879	2003
	156	149	328	150	142	305
	4	10	13	3	1	3
	2	2	9	0	3	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	54	50	121	47	64	135
	266	331	897	415	347	799
	344	326	902	414	476	829
	0	0	0	0	0	0
	0	0	0	0	0	0
	17	8	23	16	12	11
	5038	4723	13535	5612	4555	7333
	4780	5905	14920	5779	5446	8129
	1543	1226	4347	1400	1370	3145
	3	2	4	2	1	0
	0	2	0	0	1	0
	604	671	1845	931	864	1307
	0	0	0	0	0	0
	0	0	0	0	0	0
	55	52	125	63	66	150
	0	0	0	0	3	1
	0	0	0	0	0	0
	138	141	423	133	168	463
	2677	3437	8938	4155	3573	4971
	209	190	608	243	233	350
	85	125	279	125	130	156
	37	36	129	48	47	74
	0	1	3	0	0	0
	6	17	32	12	20	8
	778	797	2277	1010	907	1967
	0	0	0	0	0	0
	0	2	6	2	3	0
	5	6	14	4	5	8
	0	0	0	0	0	0
	2	5	1	6	4	7
	0	0	0	0	0	0
	36	53	176	80	79	164
	0	0	0	0	0	0
	410	440	1356	623	456	901
	383	408	1210	414	406	839
	0	0	0	0	0	1
	40	54	130	61	76	139
	420	383	1100	458	438	846
	1137	1493	3748	1552	1337	2480
	1	1	0	0	0	1
	1	8	0	0	3	0
	1	0	0	0	0	0
	0	3	4	0	2	7
	0	0	0	0	1	0
	0	1	0	0	1	1
	28	35	70	47	30	61
	231	236	668	279	275	455
	1	0	1	0	0	1
	391	474	1297	557	472	871
	263	315	780	287	360	674
	243	318	825	345	364	571
	2405	2936	8203	3424	2867	4609
	174	221	568	244	301	656
	1	5	4	7	8	10
	0	0	0	0	0	0
	1	0	0	1	3	0
	128	163	586	23	70	29
	248	278	816	169	156	249
	0	0	0	0	0	0
	81	91	234	100	78	144
	93	85	250	140	138	260
	3	5	3	9	2	10
	0	0	3	0	0	0
	0	0	0	0	0	0
	397	390	1103	365	362	733
	431	383	1283	412	488	970
	80	58	171	54	100	158
	94	135	326	135	175	343
	162	165	581	209	206	429
	21	21	47	30	24	44
	110	141	357	198	216	325
	55	66	219	98	100	171
	0	1	0	0	0	1
	28	29	70	48	50	66
	150	152	405	186	126	268
	200	271	674	264	261	445
	3	8	32	26	16	21
	78	75	252	97	67	137
	1791	2010	6098	1835	1720	2940
	534	585	1747	642	579	976
	4	2	12	2	2	1
	327	383	946	338	351	782
	2336	2531	6683	3889	3675	6184
	0	0	1	0	1	0
	152	163	458	255	201	327
	9	4	14	5	3	17
	1435	1596	4366	1732	1590	2874
	141	150	425	174	201	363
	186	176	414	244	227	386
	529	598	1839	674	711	1332
	389	454	1151	508	431	691
	164	216	594	265	221	366
	838	960	2570	980	872	1442
	267	287	724	209	255	350
	60	47	96	54	59	79
	0	0	0	0	0	1
	10	15	36	14	20	44
	39	27	94	9	18	7
	998	1117	3526	1656	1544	2460
	5	15	24	9	27	16
	55	70	178	48	62	101
	231	230	714	253	210	457
	373	361	1135	401	378	693
	5	2	17	9	2	11
	593	696	1845	858	745	1101
	0	0	0	0	0	0
	380	385	1071	451	434	999
	0	0	0	0	2	1
	65	72	239	96	81	186
	20	20	64	29	34	33
	0	0	0	0	0	0
	10	12	28	10	11	32
	13	7	17	11	5	17
	68	58	184	70	78	163
	0	0	0	0	0	0
	21	28	73	23	23	79
	123	146	315	121	147	301
	2	0	21	5	1	0
	338	318	1022	403	344	716
	8775	9154	28935	11383	9399	16683
	283	331	786	320	322	654
	1	1	3	1	0	4
	0	1	2	4	2	2
	188	198	535	210	189	393
	455	454	1485	547	644	1062
	46	43	154	59	45	133
	463	479	1356	591	545	1055
	1060	1148	3231	1328	1227	2525
	970	881	2845	965	851	1362
	1	2	17	3	2	0
	0	0	0	0	0	0
	853	929	2628	900	865	1722
	436	461	1265	545	504	761
	7	7	26	3	11	15
	365	383	1301	504	543	1171
	370	310	877	358	407	882
	10120	11091	31900	9600	8527	13395
	131	151	354	187	176	285
	1478	1763	4972	2177	1822	2740
	0	7	12	9	7	9
	74	78	194	70	75	122
	1	3	4	1	2	8
	1	0	0	0	0	0
	26	20	70	12	19	59
	86	89	264	95	154	270
	43	43	90	56	31	76
	0	0	0	1	0	0
	0	0	0	0	0	3
	0	0	0	0	0	0
	0	0	0	0	0	0
	351	395	1048	438	455	848
	0	0	0	0	0	0
	141	197	527	285	258	435
	0	0	0	0	0	0
	3	2	1	2	1	0
	84	91	181	103	138	206
	357	354	1058	444	460	802
	195	195	629	189	266	631
	55	56	147	62	83	179
	120	139	466	184	174	270
	7	15	20	5	15	10
	390	400	1083	465	453	876
	918	797	2140	791	772	1573
	1	0	1	0	0	0
	16	19	44	17	23	58
	0	0	0	0	0	0
	0	0	0	0	0	0
	48	44	126	73	82	150
	227	192	602	243	227	482
