	Case1	Case2	Case3	Case4	Case5	NegCtrl1	NegCtrl2	NegCtrl3	NegCtrl4	NegCtrl5
AFG3L1P	7.23842496438412	5.91046484983592	4.13970174037124	2.59956179008628	8.14958341281682	12.1138494532346	2.13325849365561	9.8775484430065	14.1138542588764	1.28731862356192
AFG3L2	23.0521650349172	26.2127969290597	18.2555395530221	20.9484493818498	23.3043081666905	47.6654784517962	12.2791183342544	25.5849977605266	40.2572672055963	6.17487979055569
AFG3L2P1	0	0.523869995709958	0	0	0.564901239808091	0	0	0	0	0
AFM	0	0	0	0	0	0	0	0	0	0
AFMID	15.6475302055195	22.8157806926051	14.7791258008198	17.1396404033317	25.9559420577978	9.35976667780725	10.8837639780891	28.4923838696774	23.7389290647251	5.05217437409102
AFP	0	0	0	0	0	0	0	0	0	0
AFTPH	32.754033972276	21.1397485558589	19.8647886978173	9.45272248358336	22.5364445282655	22.8380563663434	6.46426274714694	36.7337925190152	20.4121035973918	18.4404802678804
AGA	3.90780655639901	8.50901622206515	13.6817514172265	1.90242019064126	10.7047158548509	9.0037174235066	2.60194753186504	10.8429318724074	5.53331198775473	1.57014985537969
AGAP1	8.46941873108603	8.00756084084517	6.24771201139406	7.45714363206005	5.24506915340731	18.2282251264474	0.728511749839685	12.9868246012877	12.5661874719521	4.68929822099637
AGAP1-IT1	6.81381263682692	6.95468977738445	6.70951853197947	0	5.99952340832328	24.4546055368527	5.10397087387683	35.4490932826574	21.7082495905137	0
AGAP11	0	0	0	0	0.323561041514511	0.586161940526683	0	2.29417133915054	0	0
AGAP2	2.52175883854028	3.56913687029623	7.37853286496265	3.68297012233983	6.36513051257604	3.48613018552834	0.503721263414717	5.94752326062183	3.57071881889147	3.03971490284192
AGAP2-AS1	2.63921676133096	4.92577494632883	2.97008020348958	0	2.987762657345	7.21682581176452	6.77807332050843	0	3.20317282846691	0
AGAP3	20.2213262534809	14.3045393775037	16.1096988013734	35.0884474492998	17.3640511991316	26.8259743423409	5.0990019669282	35.2062611895449	24.0259224013249	3.98200231046154
AGAP4	1.3023522138322	2.92441301865377	3.48084899249334	0	1.00337452511106	0.519345553523642	0	2.71021277371151	3.45765633470089	1.17738640566036
AGAP5	0.544667526988733	0.296495281681109	0.817265820726323	0	0.479576670520866	0.579199503351888	0	3.02256153318581	0.771229412953508	0
AGAP6	5.19014146102608	6.43000685240709	7.04924098929489	3.13658518773448	9.13978028090769	36.5408901861495	1.07247995577665	19.3668717225252	25.0881416153658	3.88313959487097
AGAP7P	0	0	0	0	0	6.12485216808337	0	0	0	0
